FID,FID_1,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,OBJECTID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,Shape_Leng,SHAPE_Le_1,SHAPE_Area,Count_,Count_1,Count_2,Count_3
0,0,0,0,0,34,34,Monterey,California,06,053,06053,431696,130.199999999999989,415057,125.200000000000003,230717,12785,5464,25258,2071,230003,117405,21357,213431,201626,32547,30577,29037,32624,32481,62077,54820,53254,43218,22921,14744,6757,33.000000000000000,32.299999999999997,33.899999999999999,125946,3.150000000000000,11385,15932,36114,30546,4958,10575,90472,3.660000000000000,139048,13102,64077,61869,1179.000000000000000,1076.000000000000000,358294.000000000000000,2527341.000000000000000,3314.420000000000073,6.495277325810000,6.495277322644760,0.860395957610000,23,1,51,2
1,1,1,1,1,35,35,Santa Cruz,California,06,087,06087,278575,623.600000000000023,262382,587.299999999999955,190208,2766,2253,11112,349,84092,43376,12318,130913,131469,15045,15071,15347,21834,24391,33749,33075,38777,35935,15874,8668,4616,36.799999999999997,35.600000000000001,38.100000000000001,94355,2.660000000000000,11156,13770,19979,23355,2595,6139,57770,3.220000000000000,104476,10121,54229,40126,667.000000000000000,150.000000000000000,41094.000000000000000,848328.000000000000000,446.740000000000009,2.388135303570000,2.388135305908283,0.117217590294000,22,5,26,0
2,2,2,2,2,36,36,Santa Clara,California,06,085,06085,1958087,1508.099999999999909,1781642,1372.200000000000045,836616,46428,12960,570524,7060,479210,220806,87248,893851,887791,124464,121928,113570,114544,113117,269566,278369,263594,185546,106521,62948,27475,36.200000000000003,35.299999999999997,37.100000000000001,604204,2.900000000000000,61728,69778,176144,154396,16072,37138,426824,3.390000000000000,631920,27716,348298,255906,1003.000000000000000,229.000000000000000,38350.000000000000000,243100.000000000000000,1298.390000000000100,3.933259159940000,3.933257476914093,0.341450323668000,40,1,101,0
3,3,3,3,3,37,37,San Benito,California,06,069,06069,59354,42.700000000000003,55269,39.700000000000003,35181,483,895,1443,94,31186,14471,2702,27629,27640,4092,4326,4709,4534,3507,6931,7621,8249,5940,2978,1684,698,34.299999999999997,33.500000000000000,35.200000000000003,16805,3.270000000000000,1199,1390,5559,4647,701,1440,13436,3.610000000000000,17870,1065,10927,5878,628.000000000000000,962.000000000000000,38532.000000000000000,261197.000000000000000,1390.460000000000036,3.718731619290000,3.718731625849251,0.362726417366000,13,2,10,0
4,4,4,4,4,38,38,Ventura,California,06,111,06111,861790,464.100000000000023,823318,443.399999999999977,565804,15163,8068,55446,1643,331567,140253,36941,408969,414349,55336,56970,60390,64407,56183,105460,111083,123704,93476,51396,30870,14043,36.200000000000003,34.799999999999997,37.600000000000001,266920,3.040000000000000,22021,31016,76893,73619,8896,18955,197178,3.470000000000000,281695,14775,174168,92752,2150.000000000000000,131.000000000000000,101084.000000000000000,669829.000000000000000,1857.009999999999991,3.916199299400000,3.916199297139285,0.471858750252000,22,0,76,0
5,5,5,5,5,39,39,Los Angeles,California,06,037,06037,10275545,2514.099999999999909,9818605,2402.300000000000182,4936599,856874,72828,1346865,26094,4687889,2140632,438713,4839654,4978951,645793,633690,678845,753630,752788,1475731,1430326,1368947,1013156,568470,345603,151626,34.799999999999997,33.600000000000001,35.899999999999999,3241204,2.980000000000000,360530,424398,790374,690291,115984,296976,2194080,3.580000000000000,3445076,203872,1544749,1696455,1294.000000000000000,71.000000000000000,59556.000000000000000,149225.000000000000000,4087.190000000000055,8.423151982140000,8.423137780796838,1.036925950300000,81,10,338,0
6,6,6,6,6,40,40,San Diego,California,06,073,06073,3328647,785.700000000000045,3095313,730.600000000000023,1981442,158213,26340,336091,15337,991348,419465,158425,1553679,1541634,203423,194029,198716,225095,270750,470922,420563,430774,329616,180554,116911,53960,34.700000000000003,33.299999999999997,36.100000000000001,1086865,2.750000000000000,120318,140899,263046,268879,31706,81366,720480,3.310000000000000,1164786,77921,591025,495840,5732.000000000000000,39.000000000000000,68219.000000000000000,126657.000000000000000,4236.430000000000291,6.452311933360000,6.452307576557493,1.059106173680000,54,10,176,3
7,7,7,7,7,41,41,Orange,California,06,059,06059,3229809,4042.099999999999909,3010232,3767.300000000000182,1830758,50744,18132,537804,9354,1012973,435641,127799,1488780,1521452,191691,198769,210195,227689,213601,413528,439043,444185,321854,187454,112703,49520,36.200000000000003,34.899999999999999,37.399999999999999,992781,2.990000000000000,87348,120501,275939,262329,28783,65443,708491,3.470000000000000,1048907,56126,588313,404468,312.000000000000000,194.000000000000000,15183.000000000000000,508056.000000000000000,799.039999999999964,2.465737529680000,2.465737523882523,0.201265789190000,41,10,131,0
8,8,8,8,8,42,42,Riverside,California,06,065,06065,2388710,327.100000000000023,2189641,299.800000000000011,1335147,140543,23710,130468,6874,995257,448235,104664,1089576,1100065,162438,167065,177644,187125,154572,282429,293305,292738,213739,140598,85796,32192,33.700000000000003,32.700000000000003,34.600000000000001,686260,3.140000000000000,58397,74097,202045,174336,27090,60935,510241,3.610000000000000,800707,114447,462212,224048,2949.000000000000000,117.000000000000000,227246.000000000000000,352305.000000000000000,7303.149999999999636,7.961679226680000,7.961679232067253,1.840409025940000,45,4,116,6
9,9,9,9,9,43,43,Santa Barbara,California,06,083,06083,449510,163.400000000000006,423895,154.099999999999994,295124,8513,5485,20665,806,181687,73860,19442,212786,211109,27350,26303,26626,38009,43026,57692,50478,54998,45015,26776,18532,9090,33.700000000000003,32.399999999999999,35.100000000000001,142104,2.860000000000000,14680,20578,33171,35663,4207,9675,91600,3.390000000000000,152834,10730,74827,67277,1597.000000000000000,439.000000000000000,132323.000000000000000,737580.000000000000000,2751.179999999999836,7.153537283540000,7.153537263714870,0.700854268033000,34,1,83,2
